x,y
-10.00000,0.05240
-9.84252,0.08538
-9.68504,0.18588
-9.52756,-0.17128
-9.37008,0.10979
-9.21260,0.04221
-9.05512,-0.07880
-8.89764,0.19125
-8.74016,0.13023
-8.58268,0.32004
-8.42520,0.18177
-8.26772,0.28767
-8.11024,0.07956
-7.95276,0.02258
-7.79528,0.15718
-7.63780,0.16770
-7.48031,0.24719
-7.32283,0.16900
-7.16535,0.07084
-7.00787,0.20858
-6.85039,0.22014
-6.69291,0.19502
-6.53543,0.06013
-6.37795,0.02827
-6.22047,0.23628
-6.06299,0.13833
-5.90551,0.37724
-5.74803,0.27704
-5.59055,0.12959
-5.43307,0.32534
-5.27559,0.37618
-5.11811,0.32824
-4.96063,0.23571
-4.80315,0.36691
-4.64567,0.41927
-4.48819,0.47826
-4.33071,0.50220
-4.17323,0.60438
-4.01575,0.51905
-3.85827,0.64934
-3.70079,0.67193
-3.54331,0.56374
-3.38583,0.82050
-3.22835,0.85586
-3.07087,0.81850
-2.91339,1.07790
-2.75591,1.27599
-2.59843,1.30477
-2.44094,1.61201
-2.28346,1.54882
-2.12598,1.90180
-1.96850,2.04696
-1.81102,2.10344
-1.65354,2.71266
-1.49606,2.97476
-1.33858,3.67285
-1.18110,4.14330
-1.02362,4.83137
-0.86614,5.66897
-0.70866,6.57791
-0.55118,7.44296
-0.39370,8.63129
-0.23622,9.22636
-0.07874,9.90238
0.07874,10.01724
0.23622,9.27837
0.39370,8.66867
0.55118,7.69629
0.70866,6.70850
0.86614,5.66708
1.02362,5.00926
1.18110,4.07682
1.33858,3.58597
1.49606,3.09756
1.65354,2.65523
1.81102,2.18187
1.96850,2.15463
2.12598,1.79795
2.28346,1.61806
2.44094,1.45853
2.59843,1.17352
2.75591,1.28489
2.91339,0.96756
3.07087,0.86262
3.22835,0.98168
3.38583,0.78319
3.54331,0.74220
3.70079,0.77573
3.85827,0.64653
4.01575,0.74515
4.17323,0.47818
4.33071,0.55406
4.48819,0.23153
4.64567,0.38154
4.80315,0.35001
4.96063,0.37386
5.11811,0.35376
5.27559,0.37094
5.43307,0.46594
5.59055,0.12709
5.74803,0.14578
5.90551,0.18089
6.06299,0.13254
6.22047,0.17408
6.37795,0.39630
6.53543,0.32602
6.69291,0.13965
6.85039,0.30863
7.00787,0.36868
7.16535,0.09408
7.32283,0.19441
7.48031,0.18483
7.63780,0.32309
7.79528,0.24748
7.95276,-0.03374
8.11024,0.32757
8.26772,0.34167
8.42520,0.19058
8.58268,-0.00449
8.74016,0.03983
8.89764,0.02755
9.05512,0.06362
9.21260,0.21369
9.37008,0.03505
9.52756,0.10756
9.68504,0.18645
9.84252,0.17154
10.00000,0.05122
