x,y
-10.00000,0.16092
-9.79798,0.01517
-9.59596,0.08160
-9.39394,-0.06261
-9.19192,0.20341
-8.98990,0.00114
-8.78788,0.10353
-8.58586,0.04108
-8.38384,0.16831
-8.18182,0.13957
-7.97980,0.20672
-7.77778,0.07116
-7.57576,0.32060
-7.37374,0.27684
-7.17172,0.32631
-6.96970,0.14720
-6.76768,0.20460
-6.56566,0.21794
-6.36364,0.28645
-6.16162,0.13567
-5.95960,0.29263
-5.75758,0.47522
-5.55556,0.24016
-5.35354,0.33520
-5.15152,0.37773
-4.94949,0.35638
-4.74747,0.51203
-4.54545,0.24060
-4.34343,0.41860
-4.14141,0.37482
-3.93939,0.66489
-3.73737,0.55459
-3.53535,0.56354
-3.33333,0.68488
-3.13131,0.82456
-2.92929,0.86309
-2.72727,0.81115
-2.52525,1.10192
-2.32323,1.25825
-2.12121,1.27296
-1.91919,1.36958
-1.71717,1.64330
-1.51515,1.84586
-1.31313,1.96454
-1.11111,2.11626
-0.90909,2.54025
-0.70707,3.09085
-0.50505,2.97943
-0.30303,3.14271
-0.10101,3.25568
0.10101,3.15948
0.30303,2.96851
0.50505,3.06733
0.70707,2.80831
0.90909,2.49914
1.11111,2.30787
1.31313,1.94955
1.51515,1.92748
1.71717,1.51457
1.91919,1.38173
2.12121,1.34301
2.32323,1.15061
2.52525,0.93148
2.72727,0.95381
2.92929,0.89789
3.13131,0.76335
3.33333,0.71302
3.53535,0.44950
3.73737,0.69621
3.93939,0.63952
4.14141,0.31990
4.34343,0.58655
4.54545,0.29628
4.74747,0.35550
4.94949,0.41120
5.15152,0.13515
5.35354,0.43601
5.55556,0.22657
5.75758,0.14832
5.95960,0.28585
6.16162,0.19172
6.36364,0.32163
6.56566,0.08831
6.76768,0.19296
6.96970,0.25744
7.17172,0.29272
7.37374,0.17559
7.57576,0.19323
7.77778,0.15521
7.97980,0.16331
8.18182,0.05269
8.38384,0.08826
8.58586,-0.09738
8.78788,0.06435
8.98990,0.07316
9.19192,0.01810
9.39394,0.13803
9.59596,0.14814
9.79798,-0.03040
10.00000,0.06392
